"video_n","score","video"
1,"4.155","p1204_5.0_4phreal_widoki01.mp4"
2,"4.162","p1204_5.0_4phreal_widoki02.mp4"
3,"1.963","p1204_2.0_4phreal_widoki03.mp4"
4,"1.978","p1204_2.0_4phreal_widoki04.mp4"
5,"4.166","p1204_5.0_4phreal_widoki05.mp4"
6,"4.164","p1204_5.0_4phreal_widoki06.mp4"
8,"4.197","p1204_5.0_4phreal_widoki08.mp4"
9,"4.166","p1204_5.0_4phreal_widoki09.mp4"
10,"2.207","p1204_2.0_4phreal_widoki10.mp4"
11,"2.196","p1204_2.0_4phreal_widoki11.mp4"
12,"4.17","p1204_5.0_4phreal_widoki12.mp4"
13,"4.165","p1204_5.0_4phreal_widoki13.mp4"
15,"4.198","p1204_5.0_4phreal_widoki15_27.mp4"
16,"4.176","p1204_5.0_4phreal_widoki16_24.mp4"
17,"4.127","p1204_5.0_4phreal_widoki17_19.mp4"
18,"4.181","p1204_5.0_4phreal_widoki18_26.mp4"
19,"2.172","p1204_2.0_4phreal_widoki19_22.mp4"
20,"2.113","p1204_2.0_4phreal_widoki20_18.mp4"
22,"2.023","p1204_2.0_4phreal_widoki22_23.mp4"
23,"1.954","p1204_2.0_4phreal_widoki23_17.mp4"
24,"4.221","p1204_5.0_4phreal_widoki24_16.mp4"
25,"4.125","p1204_5.0_4phreal_widoki25_20.mp4"
26,"4.234","p1204_5.0_4phreal_widoki26_25.mp4"
27,"4.169","p1204_5.0_4phreal_widoki27_15.mp4"
29,"3.964","p1204_4.0_4phreal_widoki29_76.mp4"
30,"3.956","p1204_4.0_4phreal_widoki30_81.mp4"
31,"2.097","p1204_2.0_4phreal_widoki31_75.mp4"
32,"2.285","p1204_2.0_4phreal_widoki32_74.mp4"
33,"3.879","p1204_4.0_4phreal_widoki33_80.mp4"
34,"3.997","p1204_4.0_4phreal_widoki34_79.mp4"
37,"3.883","p1204_4.0_4phreal_widoki37_44.mp4"
38,"3.966","p1204_4.0_4phreal_widoki38_46.mp4"
